Pos	Anzahl	Name	Wert	Geh�use	
1	2	C1,C2	100nF	2,54x5,08_RM2,54	x
2	2	C3,C4	1�F	C_RM5,08	x
3	1	D1	1N4001	D_RM12,7_DM3	x
4	1	D2	Pump	LED_3MM_GELB	X
5	1	D3	Tk Full	LED_3MM_GELB	X
6	1	D4	Flt Full	LED_3MM_GELB	x
7	1	D5	Gr�n Power	LED_3MM_GR�N	x
8	1	D6	1N4148	DO35	x
9	1	D7	Auto	LED_3MM_GELB	x
10	1	IC1	ATTINY84(DIL14)	DIL14	
11	1	K1	Pump	KLEMME2	
12	1	K2	Tank	KLEMME2	
13	1	K3	Filter	KLEMME2	
14	1	K4	12V GND	KLEMME2	
15	1	K8	Level	KLEMME3	
16	1	K10	ISP	Stiftleiste_2x03_G_2,54	
17	3	R1,R10,R11	1k	0207_MET	x
18	5	R2,R3,R4,R5,R12	1,4K	0207_MET	x
19	1	R6	10k	0207_MET	x
20	3	R7,R8,R9	220	0207_MET	x
21	1	S2	Pump	TASTER_KURZHUB	x
22	1	S3	Reset	TASTER_KURZHUB	x
23	1	S4	Auto/Man	SCHIEBESCHALTER RM 5	x
24	1	T1	BC547	TO92	x
25	1	X1	MCP1703-5002	SOT223	x
26	1	X4	43.41.7.005	43.41 SERIES, FINDER	
